Year,Month,Entry,Exit,Riders
2009,Jan,BF,PL, 332 
2009,Jan,BF,CC, 339 
2009,Jan,BF,16, 76 
2009,Jan,BF,24, 49 
2009,Jan,BF,GP, 23 
2009,Jan,BF,BP, 37 
2009,Jan,BF,DC, 48 
2009,Jan,BF,CM, 10 
2009,Jan,BF,CV, 65 
2009,Jan,BF,ED, 310 
2009,Jan,BF,NC, 6 
2009,Jan,BF,WP, 22 
2009,Jan,BF,SS, 7 
2009,Jan,BF,SB, 9 
2009,Jan,BF,SO, 21 
2009,Jan,BF,MB, 9 
2009,Jan,HY,RM, 37 
2009,Jan,HY,EN, 86 
2009,Jan,HY,EP, 33 
2009,Jan,HY,NB, 19 
2009,Jan,HY,BK, 149 
2009,Jan,HY,AS, 47 
2009,Jan,HY,MA, 135 
2009,Jan,HY,19, 230 
2009,Jan,HY,12, 291 
2009,Jan,HY,LM, 182 
2009,Jan,HY,FV, 265 
2009,Jan,HY,CL, 236 
2009,Jan,HY,SL, 181 
2009,Jan,HY,BF, 202 
2009,Jan,HY,HY, 8 
2009,Jan,HY,SH, 133 
2009,Jan,HY,UC, 190 
2009,Jan,HY,FM, 372 
2009,Jan,HY,CN, 32 
2009,Jan,HY,PH, 26 
2009,Jan,HY,WC, 24 
2009,Jan,HY,LF, 8 
2009,Jan,HY,OR, 10 
2009,Jan,HY,RR, 16 
2009,Jan,HY,OW, 45 
2009,Jan,HY,EM, 443 
2009,Jan,HY,MT, 354 
2009,Jan,HY,PL, 228 
2009,Jan,HY,CC, 198 
2009,Jan,HY,16, 60 
2009,Jan,HY,24, 40 
2009,Jan,HY,GP, 20 
2009,Jan,HY,BP, 33 
2009,Jan,HY,DC, 41 
2009,Jan,HY,CM, 10 
2009,Jan,HY,CV, 25 
2009,Jan,HY,ED, 110 
2009,Jan,HY,NC, 11 
2009,Jan,HY,WP, 48 
2009,Jan,HY,SS, 7 
2009,Jan,HY,SB, 11 
2009,Jan,HY,SO, 11 
2009,Jan,HY,MB, 5 
